project_id,person_id,capacity
4557,1318,1
4383,1319,1
4384,1319,1
4385,1319,2
4530,1320,3
4531,1320,1
4405,1322,1
4406,1322,4
4407,1322,4
4532,1322,1
4398,1324,2
4404,1324,1
4590,1324,1
4413,1328,2
4461,1328,1
4610,1328,1
4497,1329,2
4561,1330,2
4562,1330,1
4583,1330,1
4517,1331,4
4518,1331,2
4509,1332,3
4510,1332,1
4511,1332,1
4516,1332,1
4412,1333,1
4471,1333,1
4472,1333,2
4476,1333,1
4560,1333,1
4360,1334,2
4361,1334,1
4362,1334,3
4363,1334,1
4580,1335,2
4581,1335,1
4582,1335,1
4565,1337,1
4552,1338,1
4553,1338,1
4554,1338,1
4555,1338,1
4601,1338,1
4494,1339,2
4495,1339,1
4408,1340,2
4410,1340,2
4411,1340,2
4432,1341,1
4433,1341,1
4436,1341,1
4438,1341,1
4558,1341,1
4594,1341,1
4545,1342,4
4592,1342,3
4456,1344,1
4457,1344,2
4458,1344,1
4485,1344,1
4455,1348,2
4460,1348,2
4529,1348,1
4597,1350,1
4377,1351,3
4378,1351,3
4379,1351,1
4401,1351,1
4533,1353,2
4534,1353,1
4535,1353,2
4536,1353,1
4434,1356,1
4498,1356,1
4541,1356,1
4608,1356,1
4371,1358,1
4470,1358,1
4473,1358,1
4387,1361,2
4388,1361,1
4389,1361,1
4512,1363,2
4514,1363,2
4515,1363,2
4574,1366,1
4575,1366,2
4577,1366,2
4519,1370,1
4520,1370,1
4521,1370,1
4522,1370,1
4605,1374,5
4606,1374,1
4542,1375,1
4544,1375,1
4546,1375,1
4547,1375,1
4462,1378,2
4463,1378,2
4464,1378,1
4414,1380,2
4415,1380,1
4416,1380,2
4417,1380,2
4420,1380,2
4421,1380,2
4540,1384,1
4386,1388,1
4400,1388,2
4600,1388,1
4366,1390,1
4367,1390,2
4368,1390,2
4369,1390,1
4588,1390,1
4443,1392,2
4444,1392,2
4445,1392,1
4446,1392,2
4447,1392,1
4493,1393,3
4506,1393,1
4507,1393,1
4556,1393,1
4429,1395,1
4430,1395,2
4431,1395,2
4364,1778,2
4365,1778,1
4370,1778,1
4486,1933,2
4487,1933,1
4490,1933,1
4491,1933,1
4492,1933,1
4584,1984,2
4567,1987,1
4568,1987,2
4569,1987,1
4394,1990,2
4395,1990,1
4396,1990,1
4564,1996,1
4573,1996,2
4576,1996,2
4578,1996,2
4439,2060,1
4440,2060,1
4441,2060,3
4480,2094,1
4481,2094,2
4548,2094,1
4488,2097,1
4496,2097,1
4475,2097,1
4602,2097,1
4603,2097,2
4459,2496,2
4469,2496,2
4475,2496,1
4488,2496,1
4496,2496,1
4437,3073,1
4465,3073,1
4466,3073,3
4467,3073,3
4468,3073,3
4380,3794,2
4381,3794,1
4382,3794,1
4503,3865,2
4504,3865,1
4505,3865,2
4550,3865,1
4587,3865,1
4571,3901,2
4579,3901,1
4470,4006,1
4473,4006,1
4390,4012,1
4559,4012,1
4442,4282,2
4448,4282,2
4449,4282,1
4454,4282,1
4525,5128,2
4589,5128,1
4593,5128,1
4523,5142,2
4524,5142,2
4528,5142,3
4499,5175,1
4500,5175,1
4501,5175,1
4502,5175,1
4474,5236,4
4391,5340,4
4392,5340,4
4393,5340,2
4513,5572,4
4425,5654,2
4426,5654,1
4427,5654,1
4537,5659,2
4538,5659,1
4539,5659,1
4597,6001,1
4399,6523,2
4418,6523,1
4419,6523,1
4388,6523,1
4411,6523,2
4526,6535,1
4527,6535,1
4402,6985,3
4403,6985,1
4434,7109,1
4477,7119,2
4478,7119,1
4479,7119,1
4551,7119,1
4586,7119,1
4482,7139,1
4483,7139,1
4484,7139,1
4450,7186,1
4451,7186,1
4452,7186,1
4453,7186,1
4543,7197,2
4549,7197,2
4570,7197,1
4612,7197,2
4498,7254,1
4608,7254,1
4541,7254,1
4585,7309,3
4604,7552,2
