project,Supervisor,max_students
4361,1334,1
4362,1334,3
4363,1334,1
4364,1778,2
4365,1778,1
4366,1390,1
4367,1390,2
4369,1390,1
4370,1778,1
4371,1358,1
4378,1351,3
4377,1351,3
4380,3794,2
4381,3794,1
4382,3794,1
4383,1319,1
4384,1319,1
4385,1319,2
4387,1361,2
4388,1361,1
4389,1361,1
4390,4012,1
4391,5340,4
4392,5340,4
4393,5340,2
4394,1990,2
4395,1990,1
4396,1990,1
4386,1388,1
4398,1324,2
4399,6523,2
4400,1388,2
4401,1351,1
4403,6985,1
4402,6985,3
4405,1322,1
4406,1322,4
4407,1322,4
4408,1340,2
4410,1340,2
4411,1340,2
4413,1328,2
4414,1380,2
4415,1380,1
4416,1380,2
4417,1380,2
4418,6523,1
4419,6523,1
4420,1380,2
4421,1380,2
4425,5654,2
4426,5654,1
4412,7966,1
4427,5654,1
4429,1395,1
4430,1395,2
4431,1395,2
4432,1341,1
4433,1341,1
4434,7109,1
4436,1341,1
4437,6878,1
4438,1341,1
4439,2060,1
4440,2060,1
4441,2060,3
4442,4282,2
4443,1392,2
4444,1392,2
4445,1392,1
4446,1392,2
4447,1392,1
4448,4282,2
4449,4282,1
4452,7186,1
4453,7186,1
4450,7186,1
4454,4282,1
4457,1344,2
4458,1344,1
4459,2496,2
4461,1328,1
4462,1378,2
4463,1378,2
4464,1378,1
4465,3073,1
4467,3073,3
4466,3073,3
4468,3073,3
4469,2496,2
4470,4006,1
4471,1333,1
4473,4006,1
4474,5236,4
4475,2496,1
4476,1333,1
4472,1333,2
4477,7119,2
4478,7119,1
4480,2094,1
4481,2094,2
4479,7119,1
4483,7139,1
4485,1344,1
4456,1344,1
4486,1933,2
4487,1933,1
4488,2097,1
4490,1933,1
4491,1933,1
4492,1933,1
4493,1393,3
4495,1339,1
4496,2097,1
4497,1329,2
4498,7254,1
4499,5175,1
4500,5175,1
4501,5175,1
4502,5175,1
4504,3865,1
4505,3865,2
4503,3865,2
4506,1393,1
4507,1393,1
4404,1324,1
4509,1332,3
4510,1332,1
4511,1332,1
4512,1363,2
4513,5572,4
4514,1363,2
4515,1363,2
4516,1332,1
4517,1331,4
4518,1331,2
4519,1370,1
4520,1370,1
4521,1370,1
4522,1370,1
4523,5142,2
4524,5142,2
4526,6535,1
4527,6535,1
4528,5142,3
4529,7765,1
4530,1320,3
4531,1320,1
4532,7115,1
4533,1353,2
4534,1353,1
4535,1353,2
4536,1353,1
4537,5659,2
4538,5659,1
4539,5659,1
4541,7576,1
4542,1375,1
4544,1375,1
4545,1342,4
4546,1375,1
4547,1375,1
4548,7932,1
4549,7197,2
4543,7197,2
4550,7683,1
4540,1384,1
4551,8020,1
4552,1338,1
4553,1338,1
4554,1338,1
4555,1338,1
4557,7936,1
4558,7705,1
4560,7698,1
4561,1330,2
4562,1330,1
4563,7973,5
4564,5024,1
4565,7891,1
4567,1987,1
4568,1987,2
4569,1987,1
4559,7754,1
4570,5871,1
4556,7830,1
4573,1996,2
4574,1366,1
4575,1366,2
4577,1366,2
4578,1996,2
4576,1996,2
4579,8022,1
4580,1335,2
4582,1335,1
4583,7963,1
4584,1984,2
4586,7989,1
4587,6996,1
4588,5861,1
4525,5128,2
4589,5128,1
4590,7060,1
4591,8152,1
4592,7959,3
4593,7907,1
4594,7867,1
4595,8063,1
4596,5061,1
4597,3595,1
4599,6714,1
4598,5061,1
4602,2097,1
4603,2097,2
4601,1338,1
4604,7552,2
4605,1374,5
4606,1374,1
4608,8070,1
4600,6896,1
4368,1390,2
4455,1348,2
4460,1348,2
4482,7139,1
4484,7139,1
4379,1351,1
4610,8257,1
4360,1334,2
4611,7757,1
4571,3901,2
4612,7197,2
4585,8221,3
4607,8039,1
4494,1339,2
4581,1335,1
4613,5226,1
4620,1341,1
4621,1341,1
4622,1341,1
4623,1341,1
4624,1341,1
4625,1341,1
4626,1341,1
4627,1341,1
4628,1341,1
4629,1341,1
4630,1341,1
4631,1341,1
4632,1341,1
4633,1341,1
4634,1341,1
4635,1341,1
4636,1341,1
4637,1341,1
4638,1341,1
4639,1341,1
4640,1341,1
4641,1341,1
4642,1341,1
4643,1341,1
4644,1341,1
4645,1341,1
4646,1341,1
4647,1341,1
4648,1341,1
4649,1341,1
4650,1341,1
4651,1341,1
4652,1341,1
4653,1341,1
4654,1341,1
4655,1341,1
4656,1341,1
4657,1341,1
4658,1341,1
4659,1341,1
4660,1341,1
4661,1341,1
4662,1341,1
4664,1341,1
4665,1341,1
4666,1318,1
4667,1341,1
4668,1341,1
4669,1342,1
4670,2228,2
4671,2985,1
4672,2016,1
4673,5877,1
4663,3360,1
4674,1341,1
4675,1341,1
4676,1341,1
4677,1341,1
4678,1341,1
4679,1341,1
(297 rows),,
